MainID,n_obs,start,end,span,n_missing_years,n_zero,onset_year,censor_year,n_origins,n_pos,n_neg,first_origin,last_origin,event_in_eligible_window,TaxonName,TaxonomicClass,BiotopeType,Country,Continent,SamplingProtocol,SamplingUnits,SamplingEffort,SpatialDensity,Reliability,DatasetLength,SamplingFrequency,restricted,Notes,DataSourceID,LocationID,TaxonID,LongDD,LatDD
45,28,1949,1977,29,1,0,,,0,0,0,,,False,Apodemus sylvaticus,Mammalia,Deciduous forest,UK - England,Europe,Count,All Individuals,Sample,None,3.0,29.0,1.0,False,"Winter sampling only, for summer equivalent see Main ID 44",9,8,50,-1.3333333333333333,51.7
46,28,1949,1977,29,1,0,,,0,0,0,,,False,Clethrionomys glareolus,Mammalia,Deciduous forest,UK - England,Europe,Count,All Individuals,Sample,None,3.0,29.0,1.0,False,"Summer sampling only, for winter equivalent see Main ID 47",9,8,51,-1.3333333333333333,51.7
47,28,1949,1977,29,1,0,,,0,0,0,,,False,Clethrionomys glareolus,Mammalia,Deciduous forest,UK - England,Europe,Count,All Individuals,Sample,None,3.0,29.0,1.0,False,"Winter sampling only, for summer equivalent see Main ID 46",9,8,51,-1.3333333333333333,51.7
48,10,1979,1992,14,4,0,,,0,0,0,,,False,Phalacrocorax carbo,Aves,Coastal,Norway,Europe,Count,Pairs,Census,None,3.0,14.0,1.0,False,to be completed,10,9,23,8.533333333333333,63.916666666666664
49,10,1980,1992,13,3,0,,,0,0,0,,,False,Phalacrocorax carbo,Aves,Coastal,Norway,Europe,Count,Pairs,Census,None,3.0,13.0,1.0,False,to be completed,10,10,23,8.666666666666666,63.833333333333336
50,10,1979,1992,14,4,0,,,0,0,0,,,False,Phalacrocorax carbo,Aves,Coastal,Norway,Europe,Count,Pairs,Census,None,3.0,14.0,1.0,False,to be completed,10,12,23,9.25,64.0
51,10,1979,1992,14,4,0,,,0,0,0,,,False,Phalacrocorax carbo,Aves,Coastal,Norway,Europe,Count,Pairs,Census,None,3.0,14.0,1.0,False,to be completed,10,13,23,11.0,64.91666666666667
52,11,1979,1992,14,3,0,,,0,0,0,,,False,Phalacrocorax carbo,Aves,Coastal,Norway,Europe,Count,Pairs,Census,None,3.0,14.0,1.0,False,to be completed,10,14,23,10.833333333333334,65.08333333333333
53,41,1950,1990,41,0,6,1967.0,1967.0,0,0,0,,,False,Clupea harengus,Osteichthyes,Marine,Multiple or International jurisdiction,Europe,Harvest,Tonnes,Harvest,None,1.0,41.0,1.0,False,None,11,15,52,-10.0,65.0
55,11,1979,1989,11,0,0,,,0,0,0,,,False,Fratercula arctica,Aves,Coastal,Norway,Europe,Count,Occupied burrows,Census,None,5.0,11.0,1.0,False,None,11,17,42,11.866666666666667,67.43333333333334
56,47,1928,1979,52,5,0,,,6,0,6,1969.0,1974.0,False,Haematopus ostralegus,Aves,Island,UK - Wales,Europe,Count,Pairs,Census,None,4.0,52.0,1.0,False,None,13,18,9,-5.15,51.7
57,47,1928,1979,52,5,0,,,6,0,6,1969.0,1974.0,False,Anthus pratensis,Aves,Island,UK - Wales,Europe,Count,Pairs,Census,None,4.0,52.0,1.0,False,None,13,18,61,-5.15,51.7
58,47,1928,1979,52,5,0,,,6,0,6,1969.0,1974.0,False,Oenanthe oenanthe,Aves,Island,UK - Wales,Europe,Count,Pairs,Census,None,4.0,52.0,1.0,False,None,13,18,62,-5.15,51.7
59,47,1928,1979,52,5,0,,,6,0,6,1969.0,1974.0,False,Alauda arvensis,Aves,Island,UK - Wales,Europe,Count,Pairs,Census,None,4.0,52.0,1.0,False,None,13,18,63,-5.15,51.7
60,47,1928,1979,52,5,12,,,6,0,6,1969.0,1974.0,False,Sturnus vulgaris,Aves,Island,UK - Wales,Europe,Count,Pairs,Census,None,4.0,52.0,1.0,False,None,13,18,64,-5.15,51.7
61,47,1928,1979,52,5,1,1978.0,1978.0,9,5,4,1969.0,1977.0,True,Vanellus vanellus,Aves,Island,UK - Wales,Europe,Count,Pairs,Census,None,4.0,52.0,1.0,False,None,13,18,65,-5.15,51.7
62,47,1928,1979,52,5,34,,,4,0,4,1971.0,1974.0,False,Columba oenas,Aves,Island,UK - Wales,Europe,Count,Pairs,Census,None,4.0,52.0,1.0,False,None,13,18,66,-5.15,51.7
63,47,1928,1979,52,5,32,,,6,0,6,1969.0,1974.0,False,Corvus monedula,Aves,Island,UK - Wales,Europe,Count,Pairs,Census,None,4.0,52.0,1.0,False,None,13,18,67,-5.15,51.7
64,47,1928,1979,52,5,0,,,6,0,6,1969.0,1974.0,False,Corvus corone,Aves,Island,UK - Wales,Europe,Count,Pairs,Census,None,4.0,52.0,1.0,False,None,13,18,68,-5.15,51.7
65,47,1928,1979,52,5,18,1939.0,1939.0,0,0,0,,,False,Prunella modularis,Aves,Island,UK - Wales,Europe,Count,Pairs,Census,None,4.0,52.0,1.0,False,None,13,18,69,-5.15,51.7
66,47,1928,1979,52,5,0,,,6,0,6,1969.0,1974.0,False,Corvus corax,Aves,Island,UK - Wales,Europe,Count,Pairs,Census,None,4.0,52.0,1.0,False,None,13,18,70,-5.15,51.7
67,47,1928,1979,52,5,33,,,5,0,5,1970.0,1974.0,False,Emberiza schoeniclus,Aves,Island,UK - Wales,Europe,Count,Pairs,Census,None,4.0,52.0,1.0,False,None,13,18,71,-5.15,51.7
69,63,1919,1981,63,0,0,1932.0,1932.0,0,0,0,,,False,Taxidea taxus,Mammalia,Unspecified habitat or no information,Canada,North America,Count,All Individuals,Sample,None,1.0,63.0,1.0,False,None,12,19,56,-115.0,55.0
70,63,1919,1981,63,0,26,1930.0,1930.0,0,0,0,,,False,Taxidea taxus,Mammalia,Unspecified habitat or no information,Canada,North America,Count,All Individuals,Sample,None,1.0,63.0,1.0,False,None,12,20,56,-125.0,55.0
71,63,1919,1981,63,0,0,1931.0,1931.0,0,0,0,,,False,Taxidea taxus,Mammalia,Unspecified habitat or no information,Canada,North America,Count,All Individuals,Sample,None,1.0,63.0,1.0,False,None,12,21,56,-98.0,55.0
72,62,1919,1981,63,1,0,1934.0,1934.0,0,0,0,,,False,Taxidea taxus,Mammalia,Unspecified habitat or no information,Canada,North America,Count,All Individuals,Sample,None,1.0,63.0,1.0,False,None,12,29,56,-104.0,55.0
73,63,1919,1981,63,0,0,1932.0,1932.0,0,0,0,,,False,Taxidea taxus,Mammalia,Unspecified habitat or no information,Canada,North America,Count,All Individuals,Sample,None,1.0,63.0,1.0,False,Total catch including  provinces and/or years with missing data,12,80,56,-98.0,60.0
74,44,1935,1981,47,3,0,1948.0,1948.0,0,0,0,,,False,Taxidea taxus,Mammalia,Unspecified habitat or no information,USA,North America,Count,All Individuals,Sample,None,1.0,47.0,1.0,False,None,12,35,56,-119.0,37.0
75,34,1940,1981,42,8,2,1946.0,1946.0,0,0,0,,,False,Taxidea taxus,Mammalia,Unspecified habitat or no information,USA,North America,Count,All Individuals,Sample,None,1.0,42.0,1.0,False,None,12,36,56,-116.0,38.0
76,26,1956,1981,26,0,0,,,0,0,0,,,False,Taxidea taxus,Mammalia,Unspecified habitat or no information,USA,North America,Count,All Individuals,Sample,None,1.0,26.0,1.0,False,None,12,41,56,-114.0,44.0
77,24,1941,1965,25,1,0,1950.0,1950.0,0,0,0,,,False,Taxidea taxus,Mammalia,Unspecified habitat or no information,USA,North America,Count,All Individuals,Sample,None,1.0,25.0,1.0,False,None,12,43,56,-86.0,40.0
78,47,1934,1981,48,1,0,1950.0,1950.0,0,0,0,,,False,Taxidea taxus,Mammalia,Unspecified habitat or no information,USA,North America,Count,All Individuals,Sample,None,1.0,48.0,1.0,False,None,12,44,56,-94.0,42.0
79,42,1934,1981,48,6,0,1954.0,1954.0,0,0,0,,,False,Taxidea taxus,Mammalia,Unspecified habitat or no information,USA,North America,Count,All Individuals,Sample,None,1.0,48.0,1.0,False,None,12,45,56,-97.0,39.0
80,34,1935,1970,36,2,0,1957.0,1957.0,0,0,0,,,False,Taxidea taxus,Mammalia,Unspecified habitat or no information,USA,North America,Count,All Individuals,Sample,None,1.0,36.0,1.0,False,None,12,51,56,-85.0,44.0
81,41,1934,1981,48,7,0,,,0,0,0,,,False,Taxidea taxus,Mammalia,Unspecified habitat or no information,USA,North America,Count,All Individuals,Sample,None,1.0,48.0,1.0,False,None,12,52,56,-95.0,46.0
82,41,1940,1981,42,1,20,,,0,0,0,,,False,Taxidea taxus,Mammalia,Unspecified habitat or no information,USA,North America,Count,All Individuals,Sample,None,1.0,42.0,1.0,False,None,12,54,56,-98.0,38.0
83,31,1950,1981,32,1,0,,,0,0,0,,,False,Taxidea taxus,Mammalia,Unspecified habitat or no information,USA,North America,Count,All Individuals,Sample,None,1.0,32.0,1.0,False,None,12,55,56,-110.0,47.0
84,36,1943,1981,39,3,0,1970.0,1970.0,0,0,0,,,False,Taxidea taxus,Mammalia,Unspecified habitat or no information,USA,North America,Count,All Individuals,Sample,None,1.0,39.0,1.0,False,None,12,56,56,-110.0,42.0
85,11,1969,1981,13,2,0,,,0,0,0,,,False,Taxidea taxus,Mammalia,Unspecified habitat or no information,USA,North America,Count,All Individuals,Sample,None,1.0,13.0,1.0,False,None,12,57,56,-113.0,39.0
86,33,1940,1981,42,9,3,1949.0,1949.0,0,0,0,,,False,Taxidea taxus,Mammalia,Unspecified habitat or no information,USA,North America,Count,All Individuals,Sample,None,1.0,42.0,1.0,False,None,12,60,56,-114.0,34.0
87,40,1941,1981,41,1,0,1947.0,1947.0,0,0,0,,,False,Taxidea taxus,Mammalia,Unspecified habitat or no information,USA,North America,Count,All Individuals,Sample,None,1.0,41.0,1.0,False,None,12,63,56,-100.0,47.0
88,37,1943,1981,39,2,12,,,0,0,0,,,False,Taxidea taxus,Mammalia,Unspecified habitat or no information,USA,North America,Count,All Individuals,Sample,None,1.0,39.0,1.0,False,None,12,64,56,-83.0,40.0
89,35,1934,1981,48,13,9,1948.0,1948.0,0,0,0,,,False,Taxidea taxus,Mammalia,Unspecified habitat or no information,USA,North America,Count,All Individuals,Sample,None,1.0,48.0,1.0,False,None,12,65,56,-97.0,36.0
90,43,1937,1981,45,2,0,1947.0,1947.0,0,0,0,,,False,Taxidea taxus,Mammalia,Unspecified habitat or no information,USA,North America,Count,All Individuals,Sample,None,1.0,45.0,1.0,False,None,12,66,56,-120.0,44.0
91,18,1957,1981,25,7,0,1962.0,1962.0,0,0,0,,,False,Taxidea taxus,Mammalia,Unspecified habitat or no information,USA,North America,Count,All Individuals,Sample,None,1.0,25.0,1.0,False,None,12,70,56,-100.0,44.0
92,41,1934,1981,48,7,1,1944.0,1944.0,0,0,0,,,False,Taxidea taxus,Mammalia,Unspecified habitat or no information,USA,North America,Count,All Individuals,Sample,None,1.0,48.0,1.0,False,None,12,72,56,-99.0,32.0
93,37,1937,1981,45,8,6,1948.0,1948.0,0,0,0,,,False,Taxidea taxus,Mammalia,Unspecified habitat or no information,USA,North America,Count,All Individuals,Sample,None,1.0,45.0,1.0,False,None,12,76,56,-120.0,48.0
94,19,1934,1954,21,2,0,1947.0,1947.0,0,0,0,,,False,Taxidea taxus,Mammalia,Unspecified habitat or no information,USA,North America,Count,All Individuals,Sample,None,1.0,21.0,1.0,False,None,12,78,56,-90.0,44.0
95,23,1957,1980,24,1,0,1962.0,1962.0,0,0,0,,,False,Taxidea taxus,Mammalia,Unspecified habitat or no information,USA,North America,Count,All Individuals,Sample,None,1.0,24.0,1.0,False,None,12,79,56,-108.0,43.0
96,48,1934,1981,48,0,0,,,14,0,14,1963.0,1976.0,False,Taxidea taxus,Mammalia,Unspecified habitat or no information,Canada,North America,Count,All Individuals,Sample,None,1.0,48.0,1.0,False,Total catch including  provinces and/or years with missing data,12,80,56,-98.0,60.0
97,51,1931,1981,51,0,0,1950.0,1950.0,0,0,0,,,False,Taxidea taxus,Mammalia,Unspecified habitat or no information,USA,North America,Count,All Individuals,Sample,None,1.0,51.0,1.0,False,Total catch including  states and/or years with missing data,12,81,56,-95.0,40.0
98,54,1919,1981,63,9,0,1933.0,1933.0,0,0,0,,,False,Ursus americanus,Mammalia,Unspecified habitat or no information,Canada,North America,Count,All Individuals,Sample,None,1.0,63.0,1.0,False,None,12,19,60,-115.0,55.0
99,51,1919,1981,63,12,0,1933.0,1933.0,0,0,0,,,False,Ursus americanus,Mammalia,Unspecified habitat or no information,Canada,North America,Count,All Individuals,Sample,None,1.0,63.0,1.0,False,None,12,20,60,-125.0,55.0
100,63,1919,1981,63,0,0,1940.0,1940.0,0,0,0,,,False,Ursus americanus,Mammalia,Unspecified habitat or no information,Canada,North America,Count,All Individuals,Sample,None,1.0,63.0,1.0,False,None,12,21,60,-98.0,55.0
101,49,1919,1981,63,14,3,1933.0,1933.0,0,0,0,,,False,Ursus americanus,Mammalia,Unspecified habitat or no information,Canada,North America,Count,All Individuals,Sample,None,1.0,63.0,1.0,False,None,12,22,60,-67.0,47.0
102,24,1951,1981,31,7,3,1976.0,1976.0,0,0,0,,,False,Ursus americanus,Mammalia,Unspecified habitat or no information,Canada,North America,Count,All Individuals,Sample,None,1.0,31.0,1.0,False,None,12,23,60,-53.0,48.0
103,62,1919,1981,63,1,0,1933.0,1933.0,0,0,0,,,False,Ursus americanus,Mammalia,Unspecified habitat or no information,Canada,North America,Count,All Individuals,Sample,None,1.0,63.0,1.0,False,None,12,24,60,-100.0,67.0
104,53,1919,1981,63,10,0,1931.0,1931.0,0,0,0,,,False,Ursus americanus,Mammalia,Unspecified habitat or no information,Canada,North America,Count,All Individuals,Sample,None,1.0,63.0,1.0,False,None,12,25,60,-63.0,45.0
105,45,1919,1981,63,18,0,1939.0,1939.0,0,0,0,,,False,Ursus americanus,Mammalia,Unspecified habitat or no information,Canada,North America,Count,All Individuals,Sample,None,1.0,63.0,1.0,False,None,12,26,60,-88.0,52.0
106,63,1919,1981,63,0,0,1934.0,1934.0,0,0,0,,,False,Ursus americanus,Mammalia,Unspecified habitat or no information,Canada,North America,Count,All Individuals,Sample,None,1.0,63.0,1.0,False,None,12,28,60,-73.0,52.0
107,63,1919,1981,63,0,0,1932.0,1932.0,0,0,0,,,False,Ursus americanus,Mammalia,Unspecified habitat or no information,Canada,North America,Count,All Individuals,Sample,None,1.0,63.0,1.0,False,None,12,29,60,-104.0,55.0
108,60,1919,1981,63,3,8,1931.0,1931.0,0,0,0,,,False,Ursus americanus,Mammalia,Unspecified habitat or no information,Canada,North America,Count,All Individuals,Sample,None,1.0,63.0,1.0,False,None,12,30,60,-155.0,65.0
109,63,1919,1981,63,0,0,1933.0,1933.0,0,0,0,,,False,Ursus americanus,Mammalia,Unspecified habitat or no information,Canada,North America,Count,All Individuals,Sample,None,1.0,63.0,1.0,False,Total catch including  provinces and/or years with missing data,12,80,60,-98.0,60.0
110,12,1970,1981,12,0,0,,,0,0,0,,,False,Ursus americanus,Mammalia,Unspecified habitat or no information,USA,North America,Count,All Individuals,Sample,None,1.0,12.0,1.0,False,None,12,33,60,-112.0,34.0
111,12,1970,1981,12,0,0,,,0,0,0,,,False,Ursus americanus,Mammalia,Unspecified habitat or no information,USA,North America,Count,All Individuals,Sample,None,1.0,12.0,1.0,False,None,12,35,60,-119.0,37.0
112,12,1970,1981,12,0,0,,,0,0,0,,,False,Ursus americanus,Mammalia,Unspecified habitat or no information,USA,North America,Count,All Individuals,Sample,None,1.0,12.0,1.0,False,None,12,36,60,-116.0,38.0
113,12,1970,1981,12,0,0,,,0,0,0,,,False,Ursus americanus,Mammalia,Unspecified habitat or no information,USA,North America,Count,All Individuals,Sample,None,1.0,12.0,1.0,False,None,12,41,60,-114.0,44.0
114,24,1935,1978,44,20,0,,,0,0,0,,,False,Ursus americanus,Mammalia,Unspecified habitat or no information,USA,North America,Count,All Individuals,Sample,None,1.0,44.0,1.0,False,None,12,48,60,-69.0,45.0
115,12,1970,1981,12,0,0,,,0,0,0,,,False,Ursus americanus,Mammalia,Unspecified habitat or no information,USA,North America,Count,All Individuals,Sample,None,1.0,12.0,1.0,False,None,12,51,60,-85.0,44.0
116,12,1970,1981,12,0,0,,,0,0,0,,,False,Ursus americanus,Mammalia,Unspecified habitat or no information,USA,North America,Count,All Individuals,Sample,None,1.0,12.0,1.0,False,None,12,52,60,-95.0,46.0
117,12,1970,1981,12,0,0,,,0,0,0,,,False,Ursus americanus,Mammalia,Unspecified habitat or no information,USA,North America,Count,All Individuals,Sample,None,1.0,12.0,1.0,False,None,12,55,60,-110.0,47.0
118,25,1934,1981,48,23,0,,,0,0,0,,,False,Ursus americanus,Mammalia,Unspecified habitat or no information,USA,North America,Count,All Individuals,Sample,None,1.0,48.0,1.0,False,None,12,58,60,-72.0,44.0
119,12,1970,1981,12,0,0,,,0,0,0,,,False,Ursus americanus,Mammalia,Unspecified habitat or no information,USA,North America,Count,All Individuals,Sample,None,1.0,12.0,1.0,False,None,12,60,60,-114.0,34.0
120,30,1934,1981,48,18,0,,,0,0,0,,,False,Ursus americanus,Mammalia,Unspecified habitat or no information,USA,North America,Count,All Individuals,Sample,None,1.0,48.0,1.0,False,None,12,61,60,-73.0,41.0
121,12,1970,1981,12,0,0,,,0,0,0,,,False,Ursus americanus,Mammalia,Unspecified habitat or no information,USA,North America,Count,All Individuals,Sample,None,1.0,12.0,1.0,False,None,12,62,60,-79.0,36.0
122,12,1970,1981,12,0,0,,,0,0,0,,,False,Ursus americanus,Mammalia,Unspecified habitat or no information,USA,North America,Count,All Individuals,Sample,None,1.0,12.0,1.0,False,None,12,66,60,-120.0,44.0
123,12,1970,1981,12,0,0,,,0,0,0,,,False,Ursus americanus,Mammalia,Unspecified habitat or no information,USA,North America,Count,All Individuals,Sample,None,1.0,12.0,1.0,False,None,12,69,60,-81.0,34.0
124,12,1970,1981,12,0,3,,,0,0,0,,,False,Ursus americanus,Mammalia,Unspecified habitat or no information,USA,North America,Count,All Individuals,Sample,None,1.0,12.0,1.0,False,None,12,71,60,-86.0,36.0
125,12,1970,1981,12,0,0,,,0,0,0,,,False,Ursus americanus,Mammalia,Unspecified habitat or no information,USA,North America,Count,All Individuals,Sample,None,1.0,12.0,1.0,False,None,12,73,60,-112.0,39.0
126,12,1970,1981,12,0,0,,,0,0,0,,,False,Ursus americanus,Mammalia,Unspecified habitat or no information,USA,North America,Count,All Individuals,Sample,None,1.0,12.0,1.0,False,None,12,74,60,-73.0,44.0
127,12,1970,1981,12,0,0,,,0,0,0,,,False,Ursus americanus,Mammalia,Unspecified habitat or no information,USA,North America,Count,All Individuals,Sample,None,1.0,12.0,1.0,False,None,12,75,60,-78.0,38.0
128,12,1970,1981,12,0,0,,,0,0,0,,,False,Ursus americanus,Mammalia,Unspecified habitat or no information,USA,North America,Count,All Individuals,Sample,None,1.0,12.0,1.0,False,None,12,76,60,-120.0,48.0
129,12,1970,1981,12,0,0,,,0,0,0,,,False,Ursus americanus,Mammalia,Unspecified habitat or no information,USA,North America,Count,All Individuals,Sample,None,1.0,12.0,1.0,False,None,12,77,60,-80.0,38.0
130,23,1935,1981,47,24,0,,,0,0,0,,,False,Ursus americanus,Mammalia,Unspecified habitat or no information,USA,North America,Count,All Individuals,Sample,None,1.0,47.0,1.0,False,None,12,78,60,-90.0,44.0
131,12,1970,1981,12,0,0,,,0,0,0,,,False,Ursus americanus,Mammalia,Unspecified habitat or no information,USA,North America,Count,All Individuals,Sample,None,1.0,12.0,1.0,False,None,12,79,60,-108.0,43.0
132,32,1934,1981,48,16,0,,,0,0,0,,,False,Ursus americanus,Mammalia,Unspecified habitat or no information,USA,North America,Count,All Individuals,Sample,None,1.0,48.0,1.0,False,Total catch including  states and/or years with missing data,12,81,60,-95.0,40.0
133,51,1931,1981,51,0,0,1954.0,1954.0,0,0,0,,,False,Ursus americanus,Mammalia,Unspecified habitat or no information,Multiple or International jurisdiction,North America,Count,All Individuals,Sample,None,1.0,51.0,1.0,False,Total catch including  states/provinces and/or years with missing data,12,82,60,-100.0,45.0
134,20,1919,1981,63,43,0,,,0,0,0,,,False,Ursus arctos,Mammalia,Unspecified habitat or no information,Canada,North America,Count,All Individuals,Sample,None,1.0,63.0,1.0,False,None,12,19,57,-115.0,55.0
135,28,1919,1981,63,35,0,1967.0,1929.0,0,0,0,,,False,Ursus arctos,Mammalia,Unspecified habitat or no information,Canada,North America,Count,All Individuals,Sample,None,1.0,63.0,1.0,False,None,12,20,57,-125.0,55.0
136,29,1919,1980,62,33,0,,1940.0,0,0,0,,,False,Ursus arctos,Mammalia,Unspecified habitat or no information,Canada,North America,Count,All Individuals,Sample,None,1.0,62.0,1.0,False,None,12,24,57,-100.0,67.0
137,41,1919,1981,63,22,0,1930.0,1930.0,0,0,0,,,False,Ursus arctos,Mammalia,Unspecified habitat or no information,Canada,North America,Count,All Individuals,Sample,None,1.0,63.0,1.0,False,Total catch including  provinces and/or years with missing data,12,80,57,-98.0,60.0
138,62,1919,1981,63,1,0,1932.0,1932.0,0,0,0,,,False,Ursus maritimus,Mammalia,Unspecified habitat or no information,Canada,North America,Count,All Individuals,Sample,None,1.0,63.0,1.0,False,None,12,24,58,-100.0,67.0
139,17,1919,1981,63,46,0,,,0,0,0,,,False,Ursus maritimus,Mammalia,Unspecified habitat or no information,Canada,North America,Count,All Individuals,Sample,None,1.0,63.0,1.0,False,None,12,26,58,-88.0,52.0
140,61,1919,1981,63,2,0,1938.0,1925.0,0,0,0,,,False,Ursus maritimus,Mammalia,Unspecified habitat or no information,Canada,North America,Count,All Individuals,Sample,None,1.0,63.0,1.0,False,None,12,28,58,-73.0,52.0
141,63,1919,1981,63,0,0,1932.0,1932.0,0,0,0,,,False,Ursus maritimus,Mammalia,Unspecified habitat or no information,Canada,North America,Count,All Individuals,Sample,None,1.0,63.0,1.0,False,Total catch including  provinces and/or years with missing data,12,80,58,-98.0,60.0
142,47,1934,1981,48,1,0,1972.0,1972.0,0,0,0,,,False,Ursus maritimus,Mammalia,Unspecified habitat or no information,USA,North America,Count,All Individuals,Sample,None,1.0,48.0,1.0,False,None,12,32,58,-155.0,65.0
143,51,1931,1981,51,0,0,,,17,0,17,1960.0,1976.0,False,Ursus maritimus,Mammalia,Unspecified habitat or no information,Multiple or International jurisdiction,North America,Count,All Individuals,Sample,None,1.0,51.0,1.0,False,Total catch including  states/provinces and/or years with missing data,12,82,58,-100.0,45.0
144,63,1919,1981,63,0,0,1927.0,1927.0,0,0,0,,,False,Castor canadensis,Mammalia,Unspecified habitat or no information,Canada,North America,Count,All Individuals,Sample,None,1.0,63.0,1.0,False,None,12,19,54,-115.0,55.0
